existing_route,passenger_count,wheelchair_count,non_wheelchair_count,first_board_min,last_board_min,first_alight_min,last_alight_min,unique_board_stops,unique_alight_stops,route_time_span_min
SR3226,1,0,1,450.0,450.0,475.0,475.0,1,1,25.0
SR3231,15,5,10,445.0,575.0,535.0,590.0,10,2,145.0
SR3232,12,5,7,935.0,995.0,970.0,1080.0,3,7,145.0
SR3236,6,6,0,450.0,505.0,525.0,525.0,5,1,75.0
SR3241,5,2,3,465.0,600.0,500.0,625.0,5,5,160.0
SR3242,14,1,13,905.0,1105.0,920.0,1135.0,6,11,230.0
SR3246,4,1,3,435.0,475.0,520.0,550.0,3,3,115.0
SR3251,13,2,11,420.0,525.0,470.0,580.0,9,4,160.0
SR3252,13,3,10,915.0,1005.0,930.0,1065.0,3,9,150.0
SR3261,10,3,7,445.0,500.0,510.0,555.0,7,2,110.0
SR3262,11,2,9,900.0,1015.0,915.0,1095.0,5,9,195.0
SR3271,8,2,6,420.0,515.0,540.0,560.0,7,2,140.0
SR3272,14,4,10,900.0,970.0,940.0,1080.0,3,10,180.0
SR3281,14,5,9,420.0,600.0,490.0,635.0,10,5,215.0
SR3282,10,3,7,960.0,975.0,1000.0,1090.0,2,6,130.0
SR3291,17,9,8,455.0,575.0,505.0,605.0,8,4,150.0
SR3292,14,6,8,930.0,1010.0,945.0,1070.0,2,10,140.0
SR3301,2,2,0,495.0,495.0,535.0,535.0,1,1,40.0
SR3302,14,4,10,900.0,1035.0,925.0,1050.0,4,7,150.0
SR3311,13,6,7,485.0,555.0,530.0,610.0,7,2,125.0
SR3312,14,6,8,900.0,1070.0,920.0,1125.0,4,12,225.0
SR3321,11,5,6,420.0,585.0,480.0,605.0,6,5,185.0
SR3322,9,4,5,900.0,900.0,920.0,975.0,1,5,75.0
SR3331,5,0,5,440.0,580.0,525.0,590.0,4,2,150.0
SR3332,13,6,7,900.0,1020.0,950.0,1035.0,6,6,135.0
SR3341,13,3,10,420.0,595.0,475.0,625.0,11,6,205.0
SR3342,9,4,5,900.0,1040.0,910.0,1065.0,4,8,165.0
SR3351,8,5,3,475.0,590.0,520.0,615.0,5,2,140.0
SR3352,6,1,5,920.0,1095.0,940.0,1125.0,4,5,205.0
SR3361,7,5,2,425.0,590.0,455.0,625.0,7,3,200.0
SR3362,9,5,4,900.0,990.0,920.0,1020.0,2,4,120.0
SR3371,7,3,4,530.0,600.0,610.0,630.0,5,2,100.0
SR3372,10,8,2,900.0,1100.0,920.0,1140.0,3,10,240.0
SR3381,11,3,8,425.0,600.0,530.0,615.0,8,4,190.0
SR3382,8,1,7,930.0,1060.0,965.0,1100.0,4,7,170.0
SR3391,10,4,6,430.0,555.0,500.0,565.0,7,3,135.0
SR3392,12,3,9,905.0,1060.0,925.0,1120.0,4,8,215.0
SR3401,11,5,6,420.0,520.0,470.0,535.0,6,2,115.0
SR3402,6,0,6,900.0,1005.0,945.0,1055.0,3,6,155.0
SR3411,13,3,10,420.0,585.0,445.0,620.0,10,3,200.0
SR3412,11,1,10,945.0,1025.0,970.0,1070.0,1,8,125.0
SR3421,8,6,2,425.0,550.0,500.0,580.0,6,2,155.0
SR3422,5,4,1,930.0,1050.0,935.0,1080.0,2,5,150.0
SR3431,8,2,6,420.0,600.0,465.0,640.0,8,7,220.0
SR3432,13,8,5,900.0,960.0,915.0,1030.0,2,7,130.0
SR3441,10,6,4,410.0,615.0,440.0,630.0,9,4,220.0
SR3442,11,2,9,900.0,1085.0,935.0,1135.0,5,10,235.0
SR3451,8,2,6,450.0,575.0,525.0,620.0,7,4,170.0
SR3452,10,6,4,900.0,965.0,930.0,1090.0,2,7,190.0
SR3461,9,5,4,420.0,520.0,495.0,545.0,7,3,125.0
SR3462,11,4,7,925.0,1035.0,955.0,1100.0,2,7,175.0
SR3471,8,4,4,415.0,540.0,480.0,570.0,5,3,155.0
SR3472,7,3,4,900.0,1030.0,920.0,1060.0,3,5,160.0
SR3481,10,3,7,420.0,600.0,505.0,610.0,9,3,190.0
SR3482,8,5,3,950.0,1090.0,970.0,1150.0,3,8,200.0
SR3491,7,3,4,435.0,600.0,465.0,615.0,7,4,180.0
SR3492,8,1,7,925.0,975.0,935.0,1010.0,4,5,85.0
SR3501,9,1,8,465.0,575.0,505.0,595.0,6,4,130.0
SR3502,10,3,7,940.0,980.0,950.0,1050.0,4,7,110.0
SR3511,10,4,6,440.0,530.0,515.0,555.0,6,2,115.0
SR3512,8,3,5,970.0,970.0,1000.0,1060.0,1,5,90.0
SR3521,12,3,9,405.0,570.0,425.0,590.0,10,6,185.0
SR3522,12,3,9,905.0,1000.0,930.0,1035.0,4,10,130.0
SR3531,4,3,1,430.0,505.0,460.0,540.0,4,2,110.0
SR3532,5,1,4,925.0,1065.0,960.0,1110.0,3,5,185.0
SR3541,15,6,9,420.0,570.0,470.0,610.0,8,4,190.0
SR3542,2,2,0,1030.0,1030.0,1045.0,1060.0,1,2,30.0
SR3551,8,3,5,435.0,600.0,495.0,630.0,5,3,195.0
SR3552,8,4,4,915.0,1070.0,935.0,1125.0,2,5,210.0
SR3561,4,1,3,420.0,530.0,470.0,560.0,4,4,140.0
SR3562,9,2,7,900.0,1055.0,935.0,1095.0,5,5,195.0
SR3571,11,5,6,505.0,585.0,545.0,600.0,5,2,95.0
SR3572,8,2,6,900.0,980.0,930.0,1050.0,2,4,150.0
SR3581,16,6,10,460.0,590.0,520.0,595.0,9,4,135.0
SR3582,15,5,10,900.0,1005.0,930.0,1040.0,4,9,140.0
SR3591,9,3,6,485.0,580.0,545.0,595.0,5,2,110.0
SR3592,5,1,4,900.0,1025.0,930.0,1050.0,3,5,150.0
SR3601,8,1,7,455.0,570.0,525.0,585.0,7,4,130.0
SR3602,5,1,4,940.0,995.0,965.0,1035.0,3,4,95.0
SR3611,10,1,9,420.0,550.0,510.0,575.0,8,3,155.0
SR3612,14,4,10,915.0,1000.0,945.0,1070.0,5,8,155.0
SR3621,8,3,5,410.0,545.0,465.0,570.0,4,3,160.0
SR3622,9,4,5,900.0,1060.0,925.0,1095.0,3,5,195.0
SR3626,5,4,1,420.0,530.0,480.0,545.0,5,3,125.0
SR3627,6,4,2,725.0,930.0,750.0,975.0,2,4,250.0
SR3631,11,1,10,420.0,595.0,460.0,620.0,7,5,200.0
SR3632,10,2,8,900.0,1000.0,950.0,1070.0,3,7,170.0
SR3641,6,2,4,445.0,535.0,515.0,570.0,4,2,125.0
SR3642,15,8,7,915.0,955.0,930.0,1060.0,3,9,145.0
SR3651,6,3,3,420.0,575.0,470.0,590.0,6,4,170.0
SR3652,5,4,1,915.0,1075.0,975.0,1140.0,4,4,225.0
SR3661,8,3,5,420.0,550.0,515.0,620.0,6,4,200.0
SR3662,9,1,8,925.0,1065.0,970.0,1130.0,5,7,205.0
SR3671,21,5,16,420.0,555.0,500.0,600.0,8,6,180.0
SR3672,10,3,7,920.0,920.0,960.0,1020.0,3,5,100.0
SR3681,10,3,7,435.0,465.0,510.0,510.0,4,2,75.0
SR3682,13,0,13,900.0,1060.0,945.0,1135.0,6,7,235.0
SR3691,3,1,2,460.0,515.0,485.0,545.0,3,2,85.0
SR3692,13,2,11,900.0,960.0,945.0,995.0,3,2,95.0
SR3701,6,1,5,420.0,560.0,460.0,585.0,3,4,165.0
SR3702,10,3,7,915.0,1070.0,970.0,1095.0,4,6,180.0
SR3717,4,3,1,720.0,790.0,735.0,830.0,2,3,110.0
SR3727,8,7,1,815.0,845.0,830.0,945.0,3,7,130.0
SR3731,8,1,7,435.0,585.0,520.0,620.0,5,4,185.0
SR3732,9,1,8,900.0,940.0,970.0,1040.0,3,6,140.0
SR3741,7,2,5,460.0,500.0,510.0,570.0,4,3,110.0
SR3742,11,5,6,900.0,1110.0,920.0,1125.0,5,9,225.0
SR3751,6,5,1,420.0,520.0,465.0,550.0,5,4,130.0
SR3752,6,3,3,915.0,1095.0,930.0,1130.0,3,5,215.0
SR3761,4,2,2,425.0,600.0,490.0,620.0,4,4,195.0
SR3762,4,0,4,950.0,1010.0,970.0,1035.0,3,4,85.0
SR6001,8,6,2,420.0,560.0,515.0,580.0,5,4,160.0
SR6002,8,5,3,970.0,970.0,995.0,1030.0,1,4,60.0
SR6011,10,4,6,455.0,600.0,510.0,625.0,7,2,170.0
SR6012,10,6,4,900.0,1045.0,925.0,1080.0,4,10,180.0
SR6021,11,3,8,435.0,590.0,525.0,620.0,8,2,185.0
SR6022,14,4,10,900.0,1025.0,915.0,1065.0,3,10,165.0
SR6031,8,4,4,445.0,585.0,465.0,610.0,7,5,165.0
SR6032,7,4,3,920.0,1100.0,1005.0,1170.0,6,6,250.0
SR6041,7,3,4,430.0,600.0,475.0,615.0,7,6,185.0
SR6042,19,6,13,940.0,1040.0,970.0,1115.0,4,10,175.0
SR6051,12,9,3,465.0,575.0,530.0,620.0,7,4,155.0
SR6052,10,3,7,925.0,1010.0,970.0,1060.0,5,4,135.0
SR6061,9,3,6,462.0,570.0,510.0,590.0,5,4,128.0
SR6062,12,3,9,900.0,1025.0,940.0,1105.0,6,9,205.0
SR6071,10,5,5,420.0,575.0,425.0,605.0,10,4,185.0
SR6072,8,5,3,915.0,1020.0,950.0,1075.0,3,5,160.0
SR6081,11,4,7,425.0,585.0,495.0,600.0,7,3,175.0
SR6082,9,5,4,900.0,995.0,965.0,1060.0,4,7,160.0
SR6091,13,3,10,460.0,595.0,580.0,610.0,10,2,150.0
SR6092,12,4,8,915.0,975.0,950.0,1070.0,4,8,155.0
SR6101,14,3,11,425.0,555.0,485.0,595.0,5,5,170.0
SR6102,12,6,6,900.0,1050.0,915.0,1075.0,4,9,175.0
SR6111,4,2,2,435.0,550.0,450.0,560.0,4,3,125.0
SR6112,6,1,5,915.0,1100.0,925.0,1140.0,5,5,225.0
SR6121,16,4,12,440.0,590.0,535.0,605.0,11,5,165.0
SR6122,7,2,5,945.0,1005.0,960.0,1050.0,3,5,105.0
SR6131,10,3,7,450.0,600.0,535.0,630.0,7,3,180.0
SR6132,9,3,6,900.0,970.0,915.0,1015.0,3,5,115.0
SR6141,13,4,9,420.0,600.0,495.0,615.0,10,6,195.0
SR6142,11,5,6,920.0,990.0,940.0,1105.0,2,9,185.0
SR6151,8,2,6,440.0,585.0,525.0,605.0,5,2,165.0
SR6152,3,3,0,900.0,955.0,920.0,1015.0,2,2,115.0
SR6161,10,4,6,420.0,495.0,530.0,530.0,5,2,110.0
SR6162,8,2,6,960.0,1100.0,970.0,1145.0,5,8,185.0
SR6171,6,4,2,455.0,585.0,540.0,600.0,5,4,145.0
SR6172,7,3,4,900.0,985.0,920.0,1065.0,6,6,165.0
SR6181,5,1,4,430.0,590.0,470.0,615.0,5,3,185.0
SR6182,3,1,2,970.0,1050.0,1005.0,1095.0,3,3,125.0
SR6191,4,0,4,425.0,540.0,510.0,580.0,4,3,155.0
SR6192,3,1,2,940.0,940.0,985.0,1020.0,2,3,80.0
SR6201,4,3,1,450.0,550.0,475.0,595.0,4,4,145.0
SR6202,4,0,4,915.0,915.0,925.0,955.0,2,4,40.0
SR6211,10,5,5,530.0,560.0,580.0,580.0,5,1,50.0
SR6212,9,5,4,915.0,1035.0,935.0,1100.0,2,6,185.0
SR6221,13,4,9,420.0,585.0,460.0,605.0,7,4,185.0
SR6222,13,4,9,935.0,1075.0,955.0,1120.0,3,10,185.0
SR6231,18,4,14,405.0,575.0,465.0,605.0,6,6,200.0
SR6232,5,0,5,925.0,1000.0,950.0,1020.0,2,3,95.0
SR6241,11,4,7,420.0,570.0,510.0,610.0,8,4,190.0
SR6242,11,6,5,900.0,1100.0,910.0,1170.0,7,8,270.0
SR6251,13,4,9,420.0,575.0,525.0,590.0,9,4,170.0
SR6252,6,3,3,920.0,1095.0,940.0,1130.0,3,6,210.0
SR6261,10,4,6,440.0,585.0,495.0,615.0,6,7,175.0
SR6262,9,3,6,915.0,1100.0,1000.0,1160.0,6,7,245.0
SR6271,8,2,6,420.0,595.0,465.0,605.0,7,3,185.0
SR6272,9,1,8,930.0,945.0,985.0,1040.0,4,6,110.0
SR6281,10,3,7,390.0,550.0,445.0,570.0,6,6,180.0
SR6282,7,2,5,905.0,1060.0,940.0,1155.0,4,7,250.0
SR6291,9,3,6,430.0,565.0,470.0,610.0,7,4,180.0
SR6292,2,0,2,900.0,900.0,915.0,925.0,1,2,25.0
SR6301,11,5,6,420.0,565.0,525.0,590.0,5,4,170.0
SR6302,5,1,4,940.0,940.0,970.0,1020.0,3,3,80.0
SR6311,6,0,6,420.0,530.0,510.0,550.0,5,2,130.0
SR6312,5,1,4,925.0,1110.0,955.0,1155.0,4,5,230.0
SR6321,7,3,4,435.0,515.0,500.0,550.0,4,3,115.0
SR6322,8,1,7,980.0,980.0,1020.0,1085.0,1,7,105.0
SR6331,12,3,9,410.0,515.0,450.0,570.0,5,4,160.0
SR6332,14,5,9,915.0,1050.0,975.0,1120.0,5,7,205.0
SR6341,8,2,6,460.0,595.0,560.0,625.0,7,4,165.0
SR6342,5,2,3,945.0,1020.0,980.0,1070.0,4,4,125.0
SR6351,6,3,3,420.0,560.0,520.0,610.0,5,6,190.0
SR6352,4,3,1,900.0,955.0,920.0,1045.0,2,4,145.0
SR6361,9,4,5,430.0,580.0,495.0,605.0,6,5,175.0
SR6362,2,1,1,900.0,905.0,920.0,955.0,2,2,55.0
SR6371,6,3,3,410.0,580.0,450.0,595.0,5,5,185.0
SR6372,5,2,3,930.0,1010.0,945.0,1065.0,4,4,135.0
SR6381,6,3,3,435.0,555.0,485.0,585.0,4,4,150.0
SR6382,8,4,4,930.0,1050.0,970.0,1100.0,5,5,170.0
SR6391,5,4,1,485.0,575.0,530.0,590.0,3,3,105.0
SR6392,5,2,3,930.0,1005.0,945.0,1020.0,3,3,90.0
SR6401,4,2,2,495.0,555.0,530.0,595.0,4,4,100.0
SR6402,4,1,3,930.0,1020.0,960.0,1050.0,4,4,120.0
SR6411,7,2,5,420.0,460.0,510.0,525.0,3,2,105.0
SR6412,9,2,7,940.0,955.0,1010.0,1055.0,3,4,115.0
